id;vorname;nachname;email;registriert;veranstalter_id
1;Alice;Musterfrau;alice@acme.at;2025-02-01 00:00:00;1
2;Anton;Maier;anton@acme.at;2025-02-01 00:00:00;1
20;Bob;Huber;bob@techcorp.biz;2025-02-02 00:00:00;20
21;Berta;Klein;berta@techcorp.biz;2025-02-02 00:00:00;20
30;Charlie;Schulz;charlie@innovate.com;2025-02-03 00:00:00;30
31;Clara;Meyer;clara@innovate.com;2025-02-03 00:00:00;30
40;Diana;Kunz;diana@futureworks.de;2025-02-04 00:00:00;40
50;Eve;Lang;eve@nextgen.es;2025-02-05 00:00:00;50
60;Frank;Bauer;frank@codelabs.it;2025-02-06 00:00:00;60
61;Fiona;Weber;fiona@codelabs.it;2025-02-06 00:00:00;60
70;Ivy;Roth;ivy@datavision.fr;2025-02-07 00:00:00;70
80;Jack;Müller;jack@softline.pl;2025-02-08 00:00:00;80
81;Julia;Koch;julia@softline.pl;2025-02-08 00:00:00;80
90;Kate;Wolf;kate@brighttech.ch;2025-02-09 00:00:00;90
